Title,Artist(s),Year,Ranking
Run It!,Chris Brown featuring Juelz Santana,2006,16
So Sick,Ne-Yo,2006,17
It's Goin' Down,Yung Joc featuring Nitti,2006,18
SOS,Rihanna,2006,19
I Write Sins Not Tragedies,Panic! at the Disco,2006,20
Move Along,The All-American Rejects,2006,21
London Bridge,Fergie,2006,22
Dani California,Red Hot Chili Peppers,2006,23
Snap Yo Fingers,Lil Jon featuring E-40 and Sean Paul,2006,24
"Lean wit It, Rock wit It",Dem Franchize Boyz featuring Peanut and Charlay,2006,25
What Hurts the Most,Rascal Flatts,2006,26
How to Save a Life,The Fray,2006,27
Unfaithful,Rihanna,2006,28
Chasing Cars,Snow Patrol,2006,29
Lips of an Angel,Hinder,2006,30
Everytime We Touch,Cascada,2006,31
Ain't No Other Man,Christina Aguilera,2006,32
"Dance, Dance",Fall Out Boy,2006,33
Gold Digger,Kanye West featuring Jamie Foxx,2006,34
Money Maker,Ludacris featuring Pharrell,2006,35
Ms. New Booty,Bubba Sparxxx featuring Ying Yang Twins,2006,36
(When You Gonna) Give It Up to Me,Sean Paul featuring Keyshia Cole,2006,37
Photograph,Nickelback,2006,38
Because of You,Kelly Clarkson,2006,39
Stickwitu,Pussycat Dolls,2006,40
I'm 'n Luv (wit a Stripper),T-Pain featuring Mike Jones,2006,41
My Humps,The Black Eyed Peas,2006,42
Where'd You Go,Fort Minor featuring Holly Brook and Jonah Matranga,2006,43
Yo (Excuse Me Miss),Chris Brown,2006,44
Walk Away,Kelly Clarkson,2006,45
Laffy Taffy,D4L,2006,46
What You Know,T.I.,2006,47
Dirty Little Secret,The All-American Rejects,2006,48
Savin' Me,Nickelback,2006,49
Don't Forget About Us,Mariah Carey,2006,50
Sexy Love,Ne-Yo,2006,51
U and Dat,E-40 featuring T-Pain and Kandi Girl,2006,52
Far Away,Nickelback,2006,53
What's Left of Me,Nick Lachey,2006,54
So What,Field Mob featuring Ciara,2006,55
Do It to It,Cherish featuring Sean P,2006,56
Black Horse and the Cherry Tree,KT Tunstall,2006,57
There It Go (The Whistle Song),Juelz Santana,2006,58
Shoulder Lean,Young Dro featuring T.I.,2006,59
Unpredictable,Jamie Foxx featuring Ludacris,2006,60
My Love,Justin Timberlake featuring T.I.,2006,61
Shake That,Eminem featuring Nate Dogg,2006,62
Pullin' Me Back,Chingy featuring Tyrese,2006,63
Bossy,Kelis featuring Too Short,2006,64
Chain Hang Low,Jibbs,2006,65
Smack That,Akon featuring Eminem,2006,66
One Wish,Ray J,2006,67
"Sugar, We're Goin Down",Fall Out Boy,2006,68
Gimme That,Chris Brown featuring Lil Wayne,2006,69
I Know You See It,Yung Joc,2006,70
Who Says You Can't Go Home,Bon Jovi featuring Jennifer Nettles,2006,71
Too Little Too Late,JoJo,2006,72
Touch It,Busta Rhymes,2006,73
Rompe,Daddy Yankee,2006,74
Déjà Vu,Beyoncé featuring Jay-Z,2006,75
Life Is a Highway,Rascal Flatts,2006,76
Call Me When You're Sober,Evanescence,2006,77
"Jesus, Take the Wheel",Carrie Underwood,2006,78
Show Stopper,Danity Kane featuring Yung Joc,2006,79
Get Up,Ciara featuring Chamillionaire,2006,80
We Be Burnin',Sean Paul,2006,81
Hate Me,Blue October,2006,82
You and Me,Lifehouse,2006,83
Beep,Pussycat Dolls featuring will.i.am,2006,84
I Think They Like Me,"Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow",2006,85
Say Goodbye,Chris Brown,2006,86
Waiting on the World to Change,John Mayer,2006,87
Soul Survivor,Young Jeezy featuring Akon,2006,88
Pump It,The Black Eyed Peas,2006,89
When I'm Gone,Eminem,2006,90
Hung Up,Madonna,2006,91
Stay Fly,Three 6 Mafia featuring Young Buck and 8Ball & MJG,2006,92
Love,Keyshia Cole,2006,93
When You're Mad,Ne-Yo,2006,94
Why You Wanna,T.I.,2006,95
Stupid Girls,Pink,2006,96
Feel Good Inc.,Gorillaz,2006,97
I'm Sprung,T-Pain,2006,98
Do I Make You Proud,Taylor Hicks,2006,99
For You I Will (Confidence),Teddy Geiger,2006,100
Irreplaceable,Beyoncé,2007,1
Umbrella,Rihanna featuring Jay-Z,2007,2
The Sweet Escape,Gwen Stefani featuring Akon,2007,3
Big Girls Don't Cry,Fergie,2007,4
Buy U a Drank (Shawty Snappin'),T-Pain featuring Yung Joc,2007,5
Before He Cheats,Carrie Underwood,2007,6
Hey There Delilah,Plain White T's,2007,7
I Wanna Love You,Akon featuring Snoop Dogg,2007,8
Say It Right,Nelly Furtado,2007,9
Glamorous,Fergie featuring Ludacris,2007,10
Don't Matter,Akon,2007,11
Girlfriend,Avril Lavigne,2007,12
Makes Me Wonder,Maroon 5,2007,13
Party Like a Rockstar,Shop Boyz,2007,14
Smack That,Akon featuring Eminem,2007,15
This Is Why I'm Hot,Mims,2007,16
It's Not Over,Daughtry,2007,17
The Way I Are,Timbaland featuring Keri Hilson,2007,18
Fergalicious,Fergie featuring will.i.am,2007,19
Crank That (Soulja Boy),Soulja Boy Tell 'Em,2007,20
Give It to Me,Timbaland featuring Nelly Furtado and Justin Timberlake,2007,21
What Goes Around... Comes Around,Justin Timberlake,2007,22
Cupid's Chokehold,Gym Class Heroes featuring Patrick Stump,2007,23
How to Save a Life,The Fray,2007,24
Home,Daughtry,2007,25
My Love,Justin Timberlake featuring T.I.,2007,26
Stronger,Kanye West,2007,27
We Fly High,Jim Jones,2007,28
U + Ur Hand,Pink,2007,29
Walk It Out,Unk,2007,30
Beautiful Girls,Sean Kingston,2007,31
"This Ain't a Scene, It's an Arms Race",Fall Out Boy,2007,32
Bartender,T-Pain featuring Akon,2007,33
"Pop, Lock & Drop It",Huey,2007,34
Runaway Love,Ludacris featuring Mary J. Blige,2007,35
Rockstar,Nickelback,2007,36
Thnks fr th Mmrs,Fall Out Boy,2007,37
What I've Done,Linkin Park,2007,38
Summer Love,Justin Timberlake,2007,39
You,Lloyd featuring Lil Wayne,2007,40
Wait for You,Elliott Yamin,2007,41
Last Night,Diddy featuring Keyshia Cole,2007,42
Make It Rain,Fat Joe featuring Lil Wayne,2007,43
Make Me Better,Fabolous featuring Ne-Yo,2007,44
Ice Box,Omarion,2007,45
Lips of an Angel,Hinder,2007,46
Waiting on the World to Change,John Mayer,2007,47
Lost Without U,Robin Thicke,2007,48
I'm a Flirt,R. Kelly featuring T.I. and T-Pain,2007,49
If Everyone Cared,Nickelback,2007,50
Get It Shawty,Lloyd,2007,51
Face Down,The Red Jumpsuit Apparatus,2007,52
The Way I Live,Baby Boy da Prince,2007,53
Shortie Like Mine,Bow Wow featuring Chris Brown and Johntá Austin,2007,54
It Ends Tonight,The All-American Rejects,2007,55
A Bay Bay,Hurricane Chris,2007,56
Because of You,Ne-Yo,2007,57
I Tried,Bone Thugs-n-Harmony featuring Akon,2007,58
Welcome To The Black Parade,My Chemical Romance,2007,59
Shawty,Plies featuring T-Pain,2007,60
Chasing Cars,Snow Patrol,2007,61
Beautiful Liar,Beyoncé and Shakira,2007,62
SexyBack,Justin Timberlake featuring Timbaland,2007,63
Keep Holding On,Avril Lavigne,2007,64
Let It Go,Keyshia Cole featuring Missy Elliott and Lil' Kim,2007,65
Apologize,OneRepublic,2007,66
Bubbly,Colbie Caillat,2007,67
Like a Boy,Ciara,2007,68
Who Knew,Pink,2007,69
Never Again,Kelly Clarkson,2007,70
Promise,Ciara,2007,71
Bed,J. Holiday,2007,72
Throw Some D's,Rich Boy featuring Polow da Don,2007,73
Rehab,Amy Winehouse,2007,74
Big Shit Poppin' (Do It),T.I.,2007,75
No One,Alicia Keys,2007,76
The Great Escape,Boys Like Girls,2007,77
2 Step,Unk,2007,78
Walk Away (Remember Me),Paula DeAnda featuring The D.E.Y.,2007,79
Go Getta,Young Jeezy featuring R. Kelly,2007,80
Here (In Your Arms),Hellogoodbye,2007,81
On the Hotline,Pretty Ricky,2007,82
Wind It Up,Gwen Stefani,2007,83
Cyclone,Baby Bash featuring T-Pain,2007,84
Break It Off,Rihanna featuring Sean Paul,2007,85
First Time,Lifehouse,2007,86
Ayo Technology,50 Cent featuring Justin Timberlake and Timbaland,2007,87
Outta My System,Bow Wow featuring T-Pain and Johntá Austin,2007,88
Teardrops on My Guitar,Taylor Swift,2007,89
Shut Up and Drive,Rihanna,2007,90
Snow (Hey Oh),Red Hot Chili Peppers,2007,91
Money Maker,Ludacris featuring Pharrell,2007,92
Kiss Kiss,Chris Brown featuring T-Pain,2007,93
Far Away,Nickelback,2007,94
Rock Yo Hips,Crime Mob and Lil' Scrappy,2007,95
LoveStoned,Justin Timberlake,2007,96
Better than Me,Hinder,2007,97
Paralyzer,Finger Eleven,2007,98
That's That,Snoop Dogg featuring R. Kelly,2007,99
Same Girl,R. Kelly featuring Usher,2007,100
Low,Flo Rida featuring T-Pain,2008,1
Bleeding Love,Leona Lewis,2008,2
No One,Alicia Keys,2008,3
Lollipop,Lil Wayne featuring Static Major,2008,4
Apologize,OneRepublic,2008,5
No Air,Jordin Sparks and Chris Brown,2008,6
Love Song,Sara Bareilles,2008,7
Love in This Club,Usher featuring Young Jeezy,2008,8
With You,Chris Brown,2008,9
Forever,Chris Brown,2008,10
Sexy Can I,Ray J featuring Yung Berg,2008,11
Take a Bow,Rihanna,2008,12
Viva la Vida,Coldplay,2008,13
I Kissed a Girl,Katy Perry,2008,14
Whatever You Like,T.I.,2008,15
Disturbia,Rihanna,2008,16
Don't Stop the Music,Rihanna,2008,17
Pocketful of Sunshine,Natasha Bedingfield,2008,18
Kiss Kiss,Chris Brown featuring T-Pain,2008,19
Closer,Ne-Yo,2008,20
Bubbly,Colbie Caillat,2008,21
Touch My Body,Mariah Carey,2008,22
4 Minutes,Madonna featuring Justin Timberlake and Timbaland,2008,23
So What,Pink,2008,24
Paralyzer,Finger Eleven,2008,25
Clumsy,Fergie,2008,26
I'm Yours,Jason Mraz,2008,27
Leavin',Jesse McCartney,2008,28
Dangerous,Kardinal Offishall featuring Akon,2008,29
Tattoo,Jordin Sparks,2008,30
See You Again,Miley Cyrus,2008,31
Shake It,Metro Station,2008,32
Stop and Stare,OneRepublic,2008,33
Take You There,Sean Kingston,2008,34
Paper Planes,M.I.A.,2008,35
Hot n Cold,Katy Perry,2008,36
Live Your Life,T.I. featuring Rihanna,2008,37
Bust It Baby (Part 2),Plies featuring Ne-Yo,2008,38
American Boy,Estelle featuring Kanye West,2008,39
Got Money,Lil Wayne featuring T-Pain,2008,40
Our Song,Taylor Swift,2008,41
Damaged,Danity Kane,2008,42
A Milli,Lil Wayne,2008,43
Sorry,Buckcherry,2008,44
Independent,Webbie featuring Lil Boosie and Lil Phat,2008,45
Can't Believe It,T-Pain featuring Lil Wayne,2008,46
Like You'll Never See Me Again,Alicia Keys,2008,47
Teardrops on My Guitar,Taylor Swift,2008,48
When I Grow Up,Pussycat Dolls,2008,49
Sexual Eruption,Snoop Dogg,2008,50
What You Got,Colby O'Donis featuring Akon,2008,51
It's Not My Time,3 Doors Down,2008,52
Better in Time,Leona Lewis,2008,53
Crank That (Soulja Boy),Soulja Boy Tell 'Em,2008,54
Shadow of the Day,Linkin Park,2008,55
Sweetest Girl (Dollar Bill),"Wyclef Jean featuring Akon, Lil Wayne and Niia",2008,56
Miss Independent,Ne-Yo,2008,57
Fall for You,Secondhand Serenade,2008,58
In the Ayer,Flo Rida featuring will.i.am,2008,59
Say,John Mayer,2008,60
One Step at a Time,Jordin Sparks,2008,61
Hate That I Love You,Rihanna featuring Ne-Yo,2008,62
Superstar,Lupe Fiasco featuring Matthew Santos,2008,63
Suffocate,J. Holiday,2008,64
Let It Rock,Kevin Rudolf featuring Lil Wayne,2008,65
Get Like Me,David Banner featuring Chris Brown and Yung Joc,2008,66
Realize,Colbie Caillat,2008,67
Put On,Young Jeezy featuring Kanye West,2008,68
The Time of My Life,David Cook,2008,69
Lolli Lolli (Pop That Body),Three 6 Mafia,2008,70
Cyclone,Baby Bash featuring T-Pain,2008,71
Love Like This,Natasha Bedingfield featuring Sean Kingston,2008,72
Burnin' Up,Jonas Brothers,2008,73
Love Lockdown,Kanye West,2008,74
I Luv Your Girl,The-Dream,2008,75
Crush,David Archuleta,2008,76
Hypnotized,Plies featuring Akon,2008,77
Big Girls Don't Cry,Fergie,2008,78
Good Life,Kanye West featuring T-Pain,2008,79
Womanizer,Britney Spears,2008,80
Love Story,Taylor Swift,2008,81
Just Fine,Mary J. Blige,2008,82
Piece of Me,Britney Spears,2008,83
The Boss,Rick Ross featuring T-Pain,2008,84
All Summer Long,Kid Rock,2008,85
Can't Help but Wait,Trey Songz,2008,86
In Love with a Girl,Gavin DeGraw,2008,87
My Life,The Game featuring Lil Wayne,2008,88
I Remember,Keyshia Cole,2008,89
Flashing Lights,Kanye West featuring Dwele,2008,90
Mrs. Officer,Lil Wayne featuring Bobby Valentino and Kidd Kidd,2008,91
7 Things,Miley Cyrus,2008,92
You're Gonna Miss This,Trace Adkins,2008,93
Love Remains the Same,Gavin Rossdale,2008,94
Feels Like Tonight,Daughtry,2008,95
The Way I Are,Timbaland featuring Keri Hilson,2008,96
Addicted,Saving Abel,2008,97
Into the Night,Santana featuring Chad Kroeger,2008,98
Heaven Sent,Keyshia Cole,2008,99
She Got It,2 Pistols featuring T-Pain and Tay Dizm,2008,100
Boom Boom Pow,The Black Eyed Peas,2009,1
Poker Face,Lady Gaga,2009,2
Just Dance,Lady Gaga featuring Colby O'Donis,2009,3
I Gotta Feeling,The Black Eyed Peas,2009,4
Love Story,Taylor Swift,2009,5
Right Round,Flo Rida,2009,6
I'm Yours,Jason Mraz,2009,7
Single Ladies (Put a Ring on It),Beyoncé,2009,8
Heartless,Kanye West,2009,9
Gives You Hell,The All-American Rejects,2009,10
You Belong with Me,Taylor Swift,2009,11
Dead and Gone,T.I. featuring Justin Timberlake,2009,12
You Found Me,The Fray,2009,13
Use Somebody,Kings of Leon,2009,14
Knock You Down,Keri Hilson featuring Kanye West and Ne-Yo,2009,15
Blame It,Jamie Foxx featuring T-Pain,2009,16
I Know You Want Me (Calle Ocho),Pitbull,2009,17
Live Your Life,T.I. featuring Rihanna,2009,18
Kiss Me thru the Phone,Soulja Boy Tell 'Em featuring Sammie,2009,19
Down,Jay Sean featuring Lil Wayne,2009,20
The Climb,Miley Cyrus,2009,21
Best I Ever Had,Drake,2009,22
My Life Would Suck Without You,Kelly Clarkson,2009,23
Halo,Beyoncé,2009,24
Hot n Cold,Katy Perry,2009,25
Second Chance,Shinedown,2009,26
Circus,Britney Spears,2009,27
Day 'n' Nite,Kid Cudi,2009,28
Party in the U.S.A.,Miley Cyrus,2009,29
Don't Trust Me,3OH!3,2009,30
Run This Town,Jay-Z featuring Rihanna and Kanye West,2009,31
Let It Rock,Kevin Rudolf featuring Lil Wayne,2009,32
Fire Burning,Sean Kingston,2009,33
Whatcha Say,Jason Derulo,2009,34
LoveGame,Lady Gaga,2009,35
Waking Up in Vegas,Katy Perry,2009,36
Birthday Sex,Jeremih,2009,37
Sober,Pink,2009,38
Womanizer,Britney Spears,2009,39
Whatever You Like,T.I.,2009,40
Obsessed,Mariah Carey,2009,41
Mad,Ne-Yo,2009,42
Good Girls Go Bad,Cobra Starship featuring Leighton Meester,2009,43
Love Lockdown,Kanye West,2009,44
So What,Pink,2009,45
Hotel Room Service,Pitbull,2009,46
Crack a Bottle,"Eminem, Dr. Dre and 50 Cent",2009,47
If I Were a Boy,Beyoncé,2009,48
Turnin Me On,Keri Hilson featuring Lil Wayne,2009,49
I Hate This Part,Pussycat Dolls,2009,50
Gotta Be Somebody,Nickelback,2009,51
Please Don't Leave Me,Pink,2009,52
Paparazzi,Lady Gaga,2009,53
Beautiful,Akon featuring Colby O'Donis and Kardinal Offishall,2009,54
Viva la Vida,Coldplay,2009,55
Right Now (Na Na Na),Akon,2009,56
Battlefield,Jordin Sparks,2009,57
Sugar,Flo Rida featuring Wynter,2009,58
Miss Independent,Ne-Yo,2009,59
Fireflies,Owl City,2009,60
New Divide,Linkin Park,2009,61
Empire State of Mind,Jay-Z featuring Alicia Keys,2009,62
No Surprise,Daughtry,2009,63
She Wolf,Shakira,2009,64
Break Up,Mario featuring Gucci Mane and Sean Garrett,2009,65
Sweet Dreams,Beyoncé,2009,66
Every Girl,Young Money,2009,67
Fallin' for You,Colbie Caillat,2009,68
Untouched,The Veronicas,2009,69
If Today Was Your Last Day,Nickelback,2009,70
Throw It in the Bag,Fabolous featuring The-Dream,2009,71
Love Drunk,Boys Like Girls,2009,72
I Love College,Asher Roth,2009,73
If U Seek Amy,Britney Spears,2009,74
Big Green Tractor,Jason Aldean,2009,75
White Horse,Taylor Swift,2009,76
Disturbia,Rihanna,2009,77
21 Guns,Green Day,2009,78
Turn My Swag On,Soulja Boy Tell 'Em,2009,79
Rockin' That Thang,The-Dream,2009,80
Chicken Fried,Zac Brown Band,2009,81
Diva,Beyoncé,2009,82
Replay,Iyaz,2009,83
Then,Brad Paisley,2009,84
Her Diamonds,Rob Thomas,2009,85
How Do You Sleep?,Jesse McCartney featuring Ludacris,2009,86
3,Britney Spears,2009,87
Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",2009,88
One Time,Justin Bieber,2009,89
I Run to You,Lady Antebellum,2009,90
I Do Not Hook Up,Kelly Clarkson,2009,91
Green Light,John Legend featuring André 3000,2009,92
People Are Crazy,Billy Currington,2009,93
Whatever It Is,Zac Brown Band,2009,94
Already Gone,Kelly Clarkson,2009,95
Goodbye,Kristinia DeBarge,2009,96
Say Hey (I Love You),Michael Franti & Spearhead featuring Cherine Anderson,2009,97
Pop Champagne,Jim Jones featuring Ron Browz and Juelz Santana,2009,98
Pretty Wings,Maxwell,2009,99
Never Say Never,The Fray,2009,100
Tik Tok,Kesha,2010,1
Need You Now,Lady Antebellum,2010,2
"Hey, Soul Sister",Train,2010,3
California Gurls,Katy Perry featuring Snoop Dogg,2010,4
OMG,Usher featuring will.i.am,2010,5
Airplanes,B.o.B featuring Hayley Williams,2010,6
Love the Way You Lie,Eminem featuring Rihanna,2010,7
Bad Romance,Lady Gaga,2010,8
Dynamite,Taio Cruz,2010,9
Break Your Heart,Taio Cruz featuring Ludacris,2010,10
Nothin' on You,B.o.B featuring Bruno Mars,2010,11
I Like It,Enrique Iglesias featuring Pitbull,2010,12
BedRock,Young Money featuring Lloyd,2010,13
In My Head,Jason Derulo,2010,14
Rude Boy,Rihanna,2010,15
Telephone,Lady Gaga featuring Beyoncé,2010,16
Teenage Dream,Katy Perry,2010,17
Just the Way You Are,Bruno Mars,2010,18
Cooler Than Me,Mike Posner,2010,19
Imma Be,The Black Eyed Peas,2010,20
Empire State of Mind,Jay-Z featuring Alicia Keys,2010,21
DJ Got Us Fallin' in Love,Usher featuring Pitbull,2010,22
Billionaire,Travie McCoy featuring Bruno Mars,2010,23
Not Afraid,Eminem,2010,24
Replay,Iyaz,2010,25
Sexy Bitch,David Guetta featuring Akon,2010,26
Breakeven,The Script,2010,27
Your Love Is My Drug,Kesha,2010,28
I Gotta Feeling,The Black Eyed Peas,2010,29
Fireflies,Owl City,2010,30
Say Aah,Trey Songz featuring Fabolous,2010,31
Find Your Love,Drake,2010,32
Alejandro,Lady Gaga,2010,33
Ridin' Solo,Jason Derulo,2010,34
Just a Dream,Nelly,2010,35
How Low,Ludacris,2010,36
Like a G6,Far East Movement featuring The Cataracs and Dev,2010,37
Carry Out,Timbaland featuring Justin Timberlake,2010,38
Haven't Met You Yet,Michael Bublé,2010,39
Club Can't Handle Me,Flo Rida featuring David Guetta,2010,40
Down,Jay Sean featuring Lil Wayne,2010,41
Bulletproof,La Roux,2010,42
Whatcha Say,Jason Derulo,2010,43
Baby,Justin Bieber featuring Ludacris,2010,44
Whataya Want from Me,Adam Lambert,2010,45
Mine,Taylor Swift,2010,46
Only Girl (In the World),Rihanna,2010,47
Live Like We're Dying,Kris Allen,2010,48
Hard,Rihanna featuring Jeezy,2010,49
Young Forever,Jay-Z featuring Mr Hudson,2010,50
Blah Blah Blah,Kesha featuring 3OH!3,2010,51
Bottoms Up,Trey Songz featuring Nicki Minaj,2010,52
Do You Remember,Jay Sean featuring Sean Paul and Lil Jon,2010,53
All the Right Moves,OneRepublic,2010,54
According to You,Orianthi,2010,55
My Chick Bad,Ludacris featuring Nicki Minaj,2010,56
You Belong with Me,Taylor Swift,2010,57
Meet Me Halfway,The Black Eyed Peas,2010,58
Take It Off,Kesha,2010,59
Over,Drake,2010,60
Animal,Neon Trees,2010,61
Misery,Maroon 5,2010,62
Magic,B.o.B featuring Rivers Cuomo,2010,63
Paparazzi,Lady Gaga,2010,64
Tie Me Down,New Boyz featuring Ray J,2010,65
Your Love,Nicki Minaj,2010,66
Party in the U.S.A.,Miley Cyrus,2010,67
Deuces,Chris Brown featuring Tyga and Kevin McCall,2010,68
3,Britney Spears,2010,69
Impossible,Shontelle,2010,70
Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",2010,71
Two Is Better Than One,Boys Like Girls featuring Taylor Swift,2010,72
My First Kiss,3OH!3 featuring Kesha,2010,73
Already Gone,Kelly Clarkson,2010,74
Rock That Body,The Black Eyed Peas,2010,75
Secrets,OneRepublic,2010,76
Naturally,Selena Gomez & the Scene,2010,77
Un-Thinkable (I'm Ready),Alicia Keys,2010,78
All I Do Is Win,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",2010,79
I Made It (Cash Money Heroes),"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",2010,80
Stuck Like Glue,Sugarland,2010,81
Hey Daddy (Daddy's Home),Usher featuring Plies,2010,82
There Goes My Baby,Usher,2010,83
Today Was a Fairytale,Taylor Swift,2010,84
Say Something,Timbaland featuring Drake,2010,85
Sweet Dreams,Beyoncé,2010,86
Use Somebody,Kings of Leon,2010,87
Undo It,Carrie Underwood,2010,88
Eenie Meenie,Sean Kingston and Justin Bieber,2010,89
Right Above It,Lil Wayne featuring Drake,2010,90
The House That Built Me,Miranda Lambert,2010,91
If I Die Young,The Band Perry,2010,92
The Only Exception,Paramore,2010,93
American Honey,Lady Antebellum,2010,94
King of Anything,Sara Bareilles,2010,95
Life After You,Daughtry,2010,96
Smile,Uncle Kracker,2010,97
Teach Me How to Dougie,Cali Swag District,2010,98
Try Sleeping with a Broken Heart,Alicia Keys,2010,99
"Lover, Lover",Jerrod Niemann,2010,100
Rolling in the Deep,Adele,2011,1
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2011,2
Firework,Katy Perry,2011,3
E.T.,Katy Perry featuring Kanye West,2011,4
Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack and Nayer",2011,5
Grenade,Bruno Mars,2011,6
F**K You (Forget You),CeeLo Green,2011,7
Super Bass,Nicki Minaj,2011,8
Moves like Jagger,Maroon 5 featuring Christina Aguilera,2011,9
Just Can't Get Enough,The Black Eyed Peas,2011,10
On the Floor,Jennifer Lopez featuring Pitbull,2011,11
S&M,Rihanna,2011,12
Pumped Up Kicks,Foster the People,2011,13
Last Friday Night (T.G.I.F.),Katy Perry,2011,14
Just the Way You Are,Bruno Mars,2011,15
Tonight (I'm Lovin' You),Enrique Iglesias featuring Ludacris and DJ Frank E,2011,16
Raise Your Glass,Pink,2011,17
Born This Way,Lady Gaga,2011,18
F**kin' Perfect,Pink,2011,19
What's My Name?,Rihanna featuring Drake,2011,20
Look at Me Now,Chris Brown featuring Lil Wayne and Busta Rhymes,2011,21
Down on Me,Jeremih featuring 50 Cent,2011,22
How to Love,Lil Wayne,2011,23
Someone Like You,Adele,2011,24
Good Life,OneRepublic,2011,25
The Lazy Song,Bruno Mars,2011,26
Till the World Ends,Britney Spears,2011,27
The Show Goes On,Lupe Fiasco,2011,28
The Edge of Glory,Lady Gaga,2011,29
We R Who We R,Kesha,2011,30
Black and Yellow,Wiz Khalifa,2011,31
Tonight Tonight,Hot Chelle Rae,2011,32
Blow,Kesha,2011,33
Lighters,Bad Meets Evil featuring Bruno Mars,2011,34
If I Die Young,The Band Perry,2011,35
Stereo Hearts,Gym Class Heroes featuring Adam Levine,2011,36
The Time (Dirty Bit),The Black Eyed Peas,2011,37
Coming Home,Diddy – Dirty Money featuring Skylar Grey,2011,38
Hey Baby (Drop It to the Floor),Pitbull featuring T-Pain,2011,39
Only Girl (In the World),Rihanna,2011,40
6 Foot 7 Foot,Lil Wayne featuring Cory Gunz,2011,41
Just a Kiss,Lady Antebellum,2011,42
Dirt Road Anthem,Jason Aldean,2011,43
Dynamite,Taio Cruz,2011,44
No Hands,Waka Flocka Flame featuring Wale and Roscoe Dash,2011,45
I Wanna Go,Britney Spears,2011,46
I'm on One,"DJ Khaled featuring Drake, Rick Ross and Lil Wayne",2011,47
You Make Me Feel...,Cobra Starship featuring Sabi,2011,48
Yeah 3x,Chris Brown,2011,49
Moment 4 Life,Nicki Minaj featuring Drake,2011,50
I Need a Doctor,Dr. Dre featuring Eminem and Skylar Grey,2011,51
Just a Dream,Nelly,2011,52
Motivation,Kelly Rowland featuring Lil Wayne,2011,53
Stereo Love,Edward Maya featuring Vika Jigulina,2011,54
Jar of Hearts,Christina Perri,2011,55
Roll Up,Wiz Khalifa,2011,56
Sexy and I Know It,LMFAO,2011,57
Rocketeer,Far East Movement featuring Ryan Tedder,2011,58
All of the Lights,Kanye West,2011,59
Hold It Against Me,Britney Spears,2011,60
More,Usher,2011,61
What the Hell,Avril Lavigne,2011,62
Written in the Stars,Tinie Tempah featuring Eric Turner,2011,63
Bottoms Up,Trey Songz featuring Nicki Minaj,2011,64
DJ Got Us Fallin' in Love,Usher featuring Pitbull,2011,65
For the First Time,The Script,2011,66
Honey Bee,Blake Shelton,2011,67
Don't You Wanna Stay,Jason Aldean featuring Kelly Clarkson,2011,68
We Found Love,Rihanna featuring Calvin Harris,2011,69
Pretty Girl Rock,Keri Hilson,2011,70
Yoü and I,Lady Gaga,2011,71
Like a G6,Far East Movement featuring The Cataracs and Dev,2011,72
Without You,David Guetta featuring Usher,2011,73
Back to December,Taylor Swift,2011,74
Teenage Dream,Katy Perry,2011,75
Crazy Girl,Eli Young Band,2011,76
Cheers (Drink to That),Rihanna,2011,77
Who Says,Selena Gomez & the Scene,2011,78
Barefoot Blue Jean Night,Jake Owen,2011,79
Knee Deep,Zac Brown Band featuring Jimmy Buffett,2011,80
Country Girl (Shake It for Me),Luke Bryan,2011,81
Remind Me,Brad Paisley and Carrie Underwood,2011,82
In the Dark,Dev,2011,83
Backseat,New Boyz featuring The Cataracs and Dev,2011,84
Headlines,Drake,2011,85
Best Thing I Never Had,Beyoncé,2011,86
Don't Wanna Go Home,Jason Derulo,2011,87
Where Them Girls At,David Guetta featuring Flo Rida and Nicki Minaj,2011,88
She Ain't You,Chris Brown,2011,89
Take a Back Road,Rodney Atkins,2011,90
Please Don't Go,Mike Posner,2011,91
Sure Thing,Miguel,2011,92
Price Tag,Jessie J featuring B.o.B,2011,93
God Gave Me You,Blake Shelton,2011,94
She Will,Lil Wayne featuring Drake,2011,95
Are You Gonna Kiss Me or Not,Thompson Square,2011,96
Animal,Neon Trees,2011,97
You and Tequila,Kenny Chesney featuring Grace Potter,2011,98
Colder Weather,Zac Brown Band,2011,99
My Last,Big Sean featuring Chris Brown,2011,100
Somebody That I Used to Know,Gotye featuring Kimbra,2012,1
Call Me Maybe,Carly Rae Jepsen,2012,2
We Are Young,Fun featuring Janelle Monáe,2012,3
Payphone,Maroon 5 featuring Wiz Khalifa,2012,4
Lights,Ellie Goulding,2012,5
Glad You Came,The Wanted,2012,6
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,7
We Found Love,Rihanna featuring Calvin Harris,2012,8
Starships,Nicki Minaj,2012,9
What Makes You Beautiful,One Direction,2012,10
Wild Ones,Flo Rida featuring Sia,2012,11
Set Fire to the Rain,Adele,2012,12
